inventor,patents,coworkers_patents,patents/coworkers_patents
BUGNO RYSZARD,2,0.9,2.2222222222222223
BUJAK IWONA,2,2.0,1.0
BUJAK-GIZYCKA BEATA,2,0.19230769230769232,10.399999999999999
BUJNICKI JANUSZ,4,0.2727272727272727,14.666666666666668
BUJNOWSKA BOZENA,1,0.25,4.0
BUJNOWSKA ELZBIETA,4,1.5714285714285714,2.5454545454545454
BUJNOWSKI KRZYSZTOF,1,1.1538461538461537,0.8666666666666667
BUKATO KATARZYNA,1,2.727272727272727,0.3666666666666667
BUKOWSKA MARIA,1,0.0,0
BUKOWSKI MICHAL,2,1.25,1.6
BULANDA MALGORZATA,2,1.8108108108108107,1.1044776119402986
BULKOWSKA URSZULA,2,0.2,10.0
BULWAN MARIA,1,4.7272727272727275,0.21153846153846154
BURATOWSKI TOMASZ,1,0.6,1.6666666666666667
BURDA STANISLAW,1,0.0,0
BURDZINSKA ANNA,1,1.3043478260869565,0.7666666666666666
BURNAT GRZEGORZ,1,0.6,1.6666666666666667
BURZYNSKA BEATA,2,0.275,7.2727272727272725
BUSZEWSKI BOGUSLAW,1,0.17391304347826086,5.75
BUZALEWICZ IGOR,3,0.48333333333333334,6.206896551724138
BYCZKOWSKA PAULINA,1,0.625,1.6
BYCZYNSKA MALGORZATA,1,1.6,0.625
BYKOWSKI DOMINIK,1,0.6470588235294118,1.5454545454545454
BYLEC ELZBIETA,5,19.571428571428573,0.2554744525547445
BYLICKI ANDRZEJ,2,0.125,16.0
BYLINA ANDRZEJ,1,1.3846153846153846,0.7222222222222222
BYRSKI TOMASZ,6,5.0,1.2
BYSTRZEJEWSKI MICHAL,1,0.03076923076923077,32.5
BZOWSKA MONIKA,1,1.125,0.8888888888888888
CADER MACIEJ,2,0.25,8.0
CAKALA STANISLAW,1,0.4,2.5
CAMRA JOZEF,4,0.0,0
CAR HALINA,1,0.0625,16.0
CECEK JACEK,2,3.4,0.5882352941176471
CECUDA-ADAMCZEWSKA VIOLETTA,5,5.7894736842105265,0.8636363636363636
CEDZYNSKI MACIEJ,1,0.864,1.1574074074074074
CEGIELSKI MAREK,2,1.5,1.3333333333333333
CEGLA MAREK,1,0.9411764705882353,1.0625
CEL WOJCIECH,6,6.333333333333333,0.9473684210526316
CELEBANSKA ANNA,1,1.826086956521739,0.5476190476190477
CELEWICZ LECH,5,0.42105263157894735,11.875
CELLER WITOLD,1,0.0,0
CEMPEL CZESLAW,3,0.5,6.0
CEREMUGA MICHAL,6,1.0833333333333333,5.538461538461539
CHABOWSKA IZABELA,2,6.285714285714286,0.3181818181818182
CHAJDUK EWELINA,2,0.515625,3.878787878787879
CHANIECKI ZBIGNIEW,1,0.7402597402597403,1.3508771929824561
CHELUSZKA PIOTR,1,1.3333333333333333,0.75
CHILARSKI ANDRZEJ,1,0.0,0
CHILMONCZYK ZDZISLAW,1,1.98,0.5050505050505051
CHLEBDA DAMIAN,2,0.6551724137931034,3.0526315789473686
CHLEWICKI WOJCIECH,2,2.9444444444444446,0.6792452830188679
CHLOPEK JAN,2,0.0,0
CHLOPEK ZDZISLAW,1,1.0,1.0
CHLOPICKI STEFAN,14,0.061224489795918366,228.66666666666669
CHLUDZINSKI DANIEL,1,1.3333333333333333,0.75
CHMARA HENRYK,5,14.61111111111111,0.34220532319391633
CHMARZYNSKI ANDRZEJ,2,0.0,0
CHMIELARZ ANDRZEJ,2,0.0,0
CHMIELEWSKA EWA,1,1.4375,0.6956521739130435
CHMIELEWSKI ANDRZEJ,16,0.0,0
CHMIELEWSKI MARCIN,8,1.5,5.333333333333333
CHMIELEWSKI MAREK,5,0.36363636363636365,13.75
CHMIELEWSKI ROBERT,5,0.0,0
CHMIELOWIEC JACEK,1,1.5,0.6666666666666666
CHMIELOWIEC URSZULA,2,1.8333333333333333,1.090909090909091
CHMIELOWSKI MICHA,1,0.25,4.0
CHODARA AGNIESZKA,1,3.8,0.2631578947368421
CHODYNSKI MICHAL,11,3.909090909090909,2.813953488372093
CHOJECKA-KORYN EWA,1,4.75,0.21052631578947367
CHOJNACKA AGNIESZKA,1,0.0,0
CHOJNACKI JERZY,9,0.2222222222222222,40.5
CHOJNACKI RAJMUND,2,5.666666666666667,0.3529411764705882
CHOJNACKI TADEUSZ,1,0.15384615384615385,6.5
CHOJNACKI WOJCIECH,32,0.0,0
CHOLEWA JACEK,1,0.0,0
CHOLEWA WOJCIECH,1,0.5,2.0
CHOMICZ-MANKA LIDIA,1,5.5,0.18181818181818182
CHOROBIK PAULINA,1,0.9107142857142857,1.0980392156862746
CHOROSZY-KROL IRENA,1,0.046153846153846156,21.666666666666664
CHOROWSKI MACIEJ,1,0.21621621621621623,4.625
CHOUDHARY SANJEEV,6,0.0,0
CHRAPKIEWICZ RADOSLAW,1,1.4782608695652173,0.6764705882352942
CHROBOCZEK JADWIGA,8,0.09803921568627451,81.6
CHROSCICKA ANNA,3,0.3333333333333333,9.0
CHRUSCIEL JERZY,1,0.20833333333333334,4.8
CHRZANOWSKI MICHAL,6,8.0,0.75
CHRZASZCZ JERZY,2,0.0,0
CHRZASZCZ RYSZARD,2,3.857142857142857,0.5185185185185185
CHUDECKI ADAM,3,0.0,0
CHUDOBA TADEUSZ,6,2.7096774193548385,2.2142857142857144
CHURSKI KRZYSZTOF,1,14.916666666666666,0.0670391061452514
CHWOROS ARKADIUSZ,1,0.5636363636363636,1.774193548387097
CHYC MAREK,1,0.20512820512820512,4.875
CIACH TOMASZ,3,0.5161290322580645,5.8125
CIALKOWSKI MICHAL,1,0.0,0
CIBOROWSKI STANISLAW,6,0.0,0
CICHOCKI MAREK,7,0.0,0
CICHOS JAKUB,1,1.1666666666666667,0.8571428571428571
CICHOSZ PAWEL,4,0.0,0
CICHOWSKI JANUSZ,1,6.904761904761905,0.14482758620689654
CICHY BARBARA,2,0.4666666666666667,4.285714285714286
CICHY JOANNA,1,3.3333333333333335,0.3
CIEBIADA IRENEUSZ,1,3.8333333333333335,0.2608695652173913
CIECHANSKA DANUTA,15,3.3636363636363638,4.45945945945946
CIEJKA JUSTYNA,2,5.575757575757576,0.358695652173913
CIEPLUCHA AGNIESZKA,3,5.0,0.6
CIESIELSKA AGNIESZKA,1,0.0,0
CIESIELSKI SLAWOMIR,4,0.0,0
CIESIOLKA JERZY,1,0.13636363636363635,7.333333333333334
CIESLAK JERZY,3,0.7272727272727273,4.125
CIESLAK MALGORZATA,2,0.0,0
CIESLAK MARCIN,6,0.4444444444444444,13.5
CIESLICKI KRZYSZTOF,1,0.1,10.0
CIESLIK MONIKA,1,0.0,0
CIEZKOWSKA MARTYNA,2,2.0952380952380953,0.9545454545454545
CIOCHON PIOTR,1,0.0,0
CIOSEK MARCIN,2,1.6666666666666667,1.2
CISLO ROMUALDA,1,1.0,1.0
CISZEWSKI KRZYSZTOF,1,2.0,0.5
CISZEWSKI TADEUSZ,2,2.0,1.0
CIUK TYMOTEUSZ,2,0.8421052631578947,2.375
CIUNIK ZBIGNIEW,1,0.04,25.0
