person_name_alias,coworker_name_alias,common_publications_count
ADAMUS JAN,MARCINEK ANDRZEJ,1
AKSAMIT PAWEL,SZMECHTA MAREK,3
AKSAMIT PAWEL,AKSAMIT PAWEL,3
AKSAMIT PAWEL,ZMARZLY DARIUSZ,1
AKSAMIT PAWEL,BOCZAR TOMASZ,1
AKSIENIONEK MAGDALENA,GIERLOTKA STANISLAW,1
AKSIENIONEK MAGDALENA,MIRKOWSKA MONIKA,1
AKSIENIONEK MAGDALENA,WASIUCIONEK MAREK,1
AKSIENIONEK MAGDALENA,AKSIENIONEK MAGDALENA,3
AKSIENIONEK MAGDALENA,LIPINSKA LUDWIKA,3
AKSIENIONEK MAGDALENA,MICHALSKA MONIKA,1
AKSIENIONEK MAGDALENA,BOGUSLAWSKI JAKUB,2
AKSIENIONEK MAGDALENA,LIBRANT KRZYSZTOF,1
AKSIENIONEK MAGDALENA,SOBON GRZEGORZ,2
AKSIENIONEK MAGDALENA,SOTOR JAROSLAW,2
AKSIENIONEK MAGDALENA,ABRAMSKI KRZYSZTOF M.,2
AKSIENIONEK MAGDALENA,KOZINSKI RAFAL,1
AKSIENIONEK MAGDALENA,ZDROJEK MARIUSZ,1
AKSIENIONEK MAGDALENA,TARKA JAN,1
AKSIENIONEK MAGDALENA,JUDEK JAROSLAW,1
AKSIENIONEK MAGDALENA,JAGIELLO JOANNA,1
AL-NEDAWI KHALID,AL-NEDAWI KHALID,10
AL-NEDAWI KHALID,READ JOLENE,1
AL-NEDAWI KHALID,RAK JANUSZ,5
AL-NEDAWI KHALID,MEEHAN BRIAN,5
AL-NEDAWI KHALID,CIERNIEWSKI CZESLAW S.,1
AL-NEDAWI KHALID,SZEMRAJ JANUSZ,1
AL-NEDAWI KHALID,MAJOR PIERRE,1
AL-NEDAWI KHALID,TANG DAMU,1
AL-NEDAWI KHALID,AL SALEH HASSAN,1
AL-NEDAWI KHALID,WEI FENGXIANG,1
AL-NEDAWI KHALID,LIN XIAOZENG,1
AL-NEDAWI KHALID,KAPOOR ANIL,1
AL-NEDAWI KHALID,AL-HASHIMI ALI,1
AL-NEDAWI KHALID,AL SALEH HASSAN A.,1
AL-NEDAWI KHALID,AUSTIN RICHARD C.,1
AL-NEDAWI KHALID,SHAYEGAN BOBBY,1
AL-NEDAWI KHALID,HAAS-NEILL SANDOR,1
AL-NEDAWI KHALID,LHOTAK VLADIMIR,2
AL-NEDAWI KHALID,MICALLEF JOHANN,2
AL-NEDAWI KHALID,MAY LINDA,2
AL-NEDAWI KHALID,GUHA ABHIJIT,2
AL-NEDAWI KHALID,DASTI ESTERINA,1
AL-NEDAWI KHALID,MAGNUS NATHALIE,2
AL-NEDAWI KHALID,LEE TAE HOON,1
AL-NEDAWI KHALID,MILSOM CHLOE,1
AL-NEDAWI KHALID,GARNIER DELPHINE,1
ALBINSKA JADWIGA,ZABORSKI MARIAN,2
ALBINSKA JADWIGA,ALBINSKA JADWIGA,3
ALBINSKA JADWIGA,KAZMIERCZAK ANNA,2
ALBINSKA JADWIGA,PARYJCZAK TADEUSZ,2
ALBINSKA JADWIGA,SHTYKA OLEKSANDR,1
ALBINSKA JADWIGA,MANIUKIEWICZ WALDEMAR,1
ALBINSKA JADWIGA,CIESIELSKI RADOSLAW,1
ALBINSKA JADWIGA,MIERCZYNSKI PAWEL,1
ALBINSKA JADWIGA,KEDZIORA ADAM,1
ALBINSKA JADWIGA,KUBICKI JAKUB,1
ALBINSKA JADWIGA,MANIECKI TOMASZ P.,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,ALEKSANDRZAK-PIEKARCZYK TAMARA,16
ALEKSANDRZAK-PIEKARCZYK TAMARA,SZATRAJ KATARZYNA,5
ALEKSANDRZAK-PIEKARCZYK TAMARA,KOSIOREK KATARZYNA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,BARDOWSKI JACEK,5
ALEKSANDRZAK-PIEKARCZYK TAMARA,STASIAK-ROZANSKA LIDIA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,CIESLA JAROSLAW,2
ALEKSANDRZAK-PIEKARCZYK TAMARA,DIEP DZUNG B.,3
ALEKSANDRZAK-PIEKARCZYK TAMARA,TYMOSZEWSKA ALEKSANDRA,2
ALEKSANDRZAK-PIEKARCZYK TAMARA,FERNANDEZ MARIA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,MAYO BALTASAR,2
ALEKSANDRZAK-PIEKARCZYK TAMARA,KOWALCZYK MAGDALENA,2
ALEKSANDRZAK-PIEKARCZYK TAMARA,WIRTEK PAULINA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,JEZIERSKA BEATA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,RENAULT PIERRE,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,POLAK JOLANTA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,NOWAK ADRIANA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,KORYSZEWSKA-BAGINSKA ANNA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,CUKROWSKA BOZENA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,KOZAKOVA HANA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,GRYNBERG MARCIN,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,LVAREZ-MARTN PABLO,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,FERNNDEZ MARA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,SWIATECKI ALEKSANDER,2
ALEKSANDRZAK-PIEKARCZYK TAMARA,GRZESIAK JAKUB,2
ALEKSANDRZAK-PIEKARCZYK TAMARA,ZDANOWSKI MAREK K.,2
ALEKSANDRZAK-PIEKARCZYK TAMARA,GORNIAK DOROTA,2
ALEKSANDRZAK-PIEKARCZYK TAMARA,BOGUSLAWSKA JOANNA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,ZYCKA-KRZESINSKA JOANNA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,BARDOWSKI JACEK K.,2
ALEKSANDRZAK-PIEKARCZYK TAMARA,JOPEK JAKUB,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,GULEWICZ KRZYSZTOF A.,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,ZYLINSKA JOANNA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,GORECKI ROMAN K.,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,PUZIA WERONIKA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,WRZOSEK MARTA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,SEREWA LIDIA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,MUSZEWSKA ANNA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,KIERSZTYN BARTOSZ,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,PAWLOWSKA JULIA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,BANACH AGNIESZKA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,SASIN-KUROWSKA JOANNA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,NIECKARZ MARTA,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,NES INGOLF F.,1
ALEKSANDRZAK-PIEKARCZYK TAMARA,OVCHINNIKOV KIRILL V.,1
