inventor,patents,coworkers_patents
BURATOWSKI TOMASZ,4,5.85
BURDZINSKA ANNA,1,4.458333333333333
BURNAT GRZEGORZ,1,2.0
BURZYNSKA BEATA,2,2.0
BUSZEWSKI BOGUSLAW,1,1.0
BUZALEWICZ IGOR,7,3.0
BYCZKOWSKA PAULINA,1,1.0
BYCZYNSKA MALGORZATA,1,4.666666666666667
BYKOWSKI DOMINIK,2,2.3333333333333335
BYLEC ELZBIETA,8,48.0
BYLICKI ANDRZEJ,5,3.0
BYLINA ANDRZEJ,2,8.0
BYRSKI TOMASZ,19,18.636363636363637
BYSTRZEJEWSKI MICHAL,1,1.0
BZOWSKA MONIKA,1,4.2
CADER MACIEJ,2,2.6666666666666665
CAKALA STANISLAW,1,1.0
CAR HALINA,1,1.0
CECEK JACEK,7,25.333333333333332
CECUDA-ADAMCZEWSKA VIOLETTA,10,18.071428571428573
CEDZYNSKI MACIEJ,4,8.382352941176471
CEGIELSKI MAREK,17,6.0
CEGLA MAREK,2,9.428571428571429
CEL WOJCIECH,6,8.857142857142858
CELEBANSKA ANNA,1,2.7096774193548385
CELEWICZ LECH,30,12.833333333333334
CEMPEL CZESLAW,9,9.0
CEREMUGA MICHAL,13,15.0
CHABOWSKA IZABELA,5,28.5
CHAJDUK EWELINA,2,2.375
CHANIECKI ZBIGNIEW,1,1.3265306122448979
CHELUSZKA PIOTR,1,1.9090909090909092
CHILMONCZYK ZDZISLAW,1,13.705882352941176
CHLEBDA DAMIAN,2,2.75
CHLEWICKI WOJCIECH,3,8.5
CHLOPEK ZDZISLAW,2,5.0
CHLOPICKI STEFAN,57,12.0
CHLUDZINSKI DANIEL,6,7.2
CHMARA HENRYK,11,48.724137931034484
CHMIELEWSKA EWA,1,7.285714285714286
CHMIELEWSKI MARCIN,26,13.0
CHMIELEWSKI MAREK,9,4.5
CHMIELOWIEC JACEK,5,7.333333333333333
CHMIELOWIEC URSZULA,2,5.0
CHMIELOWSKI MICHA,1,1.0
CHODARA AGNIESZKA,1,9.6
CHODYNSKI MICHAL,26,19.142857142857142
CHOJECKA-KORYN EWA,1,49.0
CHOJNACKI JERZY,21,13.0
CHOJNACKI RAJMUND,2,13.0
CHOJNACKI TADEUSZ,2,5.0
CHOLEWA WOJCIECH,1,3.0
CHOMICZ-MANKA LIDIA,1,11.5
CHOROBIK PAULINA,5,2.111111111111111
CHOROSZY-KROL IRENA,3,4.0
CHOROWSKI MACIEJ,2,3.0
CHRAPKIEWICZ RADOSLAW,1,2.473684210526316
CHROBOCZEK JADWIGA,24,4.666666666666667
CHROSCICKA ANNA,4,5.0
CHRUSCIEL JERZY,1,3.3333333333333335
CHRZANOWSKI MICHAL,7,11.0
CHRZASZCZ RYSZARD,2,18.25
CHUDOBA TADEUSZ,14,10.944444444444445
CHURSKI KRZYSZTOF,5,45.125
CHWOROS ARKADIUSZ,5,25.333333333333332
CHYC MAREK,2,2.0
CIACH TOMASZ,11,13.0
CICHOS JAKUB,1,2.5555555555555554
CICHOWSKI JANUSZ,1,8.631578947368421
CICHY BARBARA,2,2.8
CICHY JOANNA,1,44.857142857142854
CIEBIADA IRENEUSZ,2,31.666666666666668
CIECHANSKA DANUTA,26,15.857142857142858
CIEJKA JUSTYNA,7,24.952380952380953
CIEPLUCHA AGNIESZKA,5,6.0
CIESIOLKA JERZY,1,1.8
CIESLAK JERZY,3,4.75
